"","C2_conv.spring_tillage.seed_top","C2_conv.spring_tillage.seed_bottom","C2_conv.spring_tillage.plant_cohort_1","C2_conv.spring_tillage.plant_cohort_2","C2_conv.spring_tillage.plant_cohort_3","C2_conv.spring_tillage.plant_cohort_4","C2_conv.spring_tillage.plant_cohort_5","C2_conv.spring_tillage.plant_cohort_6","C2_conv.emergence.seed_top","C2_conv.emergence.seed_bottom","C2_conv.emergence.plant_cohort_1","C2_conv.emergence.plant_cohort_2","C2_conv.emergence.plant_cohort_3","C2_conv.emergence.plant_cohort_4","C2_conv.emergence.plant_cohort_5","C2_conv.emergence.plant_cohort_6","C2_conv.summer_survival_Sosnoskie_2013.seed_top","C2_conv.summer_survival_Sosnoskie_2013.seed_bottom","C2_conv.summer_survival_Sosnoskie_2013.plant_cohort_1","C2_conv.summer_survival_Sosnoskie_2013.plant_cohort_2","C2_conv.summer_survival_Sosnoskie_2013.plant_cohort_3","C2_conv.summer_survival_Sosnoskie_2013.plant_cohort_4","C2_conv.summer_survival_Sosnoskie_2013.plant_cohort_5","C2_conv.summer_survival_Sosnoskie_2013.plant_cohort_6","C2_conv.fecundity_2018.seed_top","C2_conv.fecundity_2018.seed_bottom","C2_conv.fecundity_2018.plant_cohort_1","C2_conv.fecundity_2018.plant_cohort_2","C2_conv.fecundity_2018.plant_cohort_3","C2_conv.fecundity_2018.plant_cohort_4","C2_conv.fecundity_2018.plant_cohort_5","C2_conv.fecundity_2018.plant_cohort_6","C2_conv.post_harvest_tillage.seed_top","C2_conv.post_harvest_tillage.seed_bottom","C2_conv.post_harvest_tillage.plant_cohort_1","C2_conv.post_harvest_tillage.plant_cohort_2","C2_conv.post_harvest_tillage.plant_cohort_3","C2_conv.post_harvest_tillage.plant_cohort_4","C2_conv.post_harvest_tillage.plant_cohort_5","C2_conv.post_harvest_tillage.plant_cohort_6","C2_conv.overwinter_Sosnoskie_2013.seed_top","C2_conv.overwinter_Sosnoskie_2013.seed_bottom","C2_conv.overwinter_Sosnoskie_2013.plant_cohort_1","C2_conv.overwinter_Sosnoskie_2013.plant_cohort_2","C2_conv.overwinter_Sosnoskie_2013.plant_cohort_3","C2_conv.overwinter_Sosnoskie_2013.plant_cohort_4","C2_conv.overwinter_Sosnoskie_2013.plant_cohort_5","C2_conv.overwinter_Sosnoskie_2013.plant_cohort_6","S2_conv.spring_tillage.seed_top","S2_conv.spring_tillage.seed_bottom","S2_conv.spring_tillage.plant_cohort_1","S2_conv.spring_tillage.plant_cohort_2","S2_conv.spring_tillage.plant_cohort_3","S2_conv.spring_tillage.plant_cohort_4","S2_conv.spring_tillage.plant_cohort_5","S2_conv.spring_tillage.plant_cohort_6","S2_conv.emergence.seed_top","S2_conv.emergence.seed_bottom","S2_conv.emergence.plant_cohort_1","S2_conv.emergence.plant_cohort_2","S2_conv.emergence.plant_cohort_3","S2_conv.emergence.plant_cohort_4","S2_conv.emergence.plant_cohort_5","S2_conv.emergence.plant_cohort_6","S2_conv.summer_survival_Sosnoskie_2013.seed_top","S2_conv.summer_survival_Sosnoskie_2013.seed_bottom","S2_conv.summer_survival_Sosnoskie_2013.plant_cohort_1","S2_conv.summer_survival_Sosnoskie_2013.plant_cohort_2","S2_conv.summer_survival_Sosnoskie_2013.plant_cohort_3","S2_conv.summer_survival_Sosnoskie_2013.plant_cohort_4","S2_conv.summer_survival_Sosnoskie_2013.plant_cohort_5","S2_conv.summer_survival_Sosnoskie_2013.plant_cohort_6","S2_conv.fecundity_2018.seed_top","S2_conv.fecundity_2018.seed_bottom","S2_conv.fecundity_2018.plant_cohort_1","S2_conv.fecundity_2018.plant_cohort_2","S2_conv.fecundity_2018.plant_cohort_3","S2_conv.fecundity_2018.plant_cohort_4","S2_conv.fecundity_2018.plant_cohort_5","S2_conv.fecundity_2018.plant_cohort_6","S2_conv.post_harvest_tillage.seed_top","S2_conv.post_harvest_tillage.seed_bottom","S2_conv.post_harvest_tillage.plant_cohort_1","S2_conv.post_harvest_tillage.plant_cohort_2","S2_conv.post_harvest_tillage.plant_cohort_3","S2_conv.post_harvest_tillage.plant_cohort_4","S2_conv.post_harvest_tillage.plant_cohort_5","S2_conv.post_harvest_tillage.plant_cohort_6","S2_conv.overwinter_Sosnoskie_2013.seed_top","S2_conv.overwinter_Sosnoskie_2013.seed_bottom","S2_conv.overwinter_Sosnoskie_2013.plant_cohort_1","S2_conv.overwinter_Sosnoskie_2013.plant_cohort_2","S2_conv.overwinter_Sosnoskie_2013.plant_cohort_3","S2_conv.overwinter_Sosnoskie_2013.plant_cohort_4","S2_conv.overwinter_Sosnoskie_2013.plant_cohort_5","S2_conv.overwinter_Sosnoskie_2013.plant_cohort_6"
"seed_top",0.597083333,0.101041667,0,0,0,0,0,0,0.998635682032239,0,0,0,0,0,0,0,0.657664111155356,0,0,0,0,0,0,0,1,0,36077.3333325,15592.333332,6958.8,6298.5999992,2192.1333334,272,0.591666667,0.073125,0,0,0,0,0,0,0.657664111155356,0,0,0,0,0,0,0,0.597083333,0.101041667,0,0,0,0,0,0,0.963689295794064,0,0,0,0,0,0,0,0.657664111155356,0,0,0,0,0,0,0,1,0,47226.333335,36547,24963.5,18982.8888876667,6499.888889,1756.2222221,1,0,0,0,0,0,0,0,0.657664111155356,0,0,0,0,0,0,0
"seed_bottom",0.4,0.891666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.737114129578309,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.404791667,0.91375,0,0,0,0,0,0,0,0.737114129578309,0,0,0,0,0,0,0.4,0.891666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.737114129578309,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.737114129578309,0,0,0,0,0,0
"plant_cohort_1",0,0,0,0,0,0,0,0,0.000111766093986152,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256346499861726,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plant_cohort_2",0,0,0,0,0,0,0,0,0.00124510427394947,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00745851201220141,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plant_cohort_3",0,0,0,0,0,0,0,0,1.86189995634924e-06,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179786392046302,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plant_cohort_4",0,0,0,0,0,0,0,0,1.86189995634924e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000643759254431584,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plant_cohort_5",0,0,0,0,0,0,0,0,1.86189995634924e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329019752912126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plant_cohort_6",0,0,0,0,0,0,0,0,1.86189995634924e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000446899279755376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
